"","Price","Open","High","Low"
"181",1895.95,1899.55,1903.35,1872.15
"182",1895.95,1899.55,1903.35,1873.95
"183",1895.95,1899.55,1903.35,1873.95
"184",1895.95,1899.55,1903.35,1873.95
"185",1895.95,1899.55,1903.35,1873.95
"186",1895.95,1899.55,1903.35,1873.95
"187",1895.95,1899.55,1903.35,1873.95
"188",1895.95,1899.55,1903.35,1873.95
"189",1895.95,1899.55,1903.35,1873.95
"190",1895.95,1899.55,1903.35,1873.95
"191",1895.95,1899.55,1903.35,1873.95
"192",1895.95,1899.55,1903.35,1873.95
"193",1895.95,1899.55,1903.35,1873.95
"194",1895.95,1899.55,1903.35,1873.95
"195",1895.95,1899.55,1903.35,1873.95
"196",1895.95,1899.55,1903.35,1873.95
"197",1895.95,1899.55,1903.35,1873.95
"198",1895.95,1899.55,1903.35,1873.95
"199",1895.95,1899.55,1903.35,1873.95
"200",1895.95,1899.55,1903.35,1873.95
